municipality_id,year,population
1,2020,392212
1,2021,397973
1,2022,403819
1,2023,409751
1,2024,415770
1,2025,421878
2,2020,113520
2,2021,114035
2,2022,114553
2,2023,115074
2,2024,115596
2,2025,116122
3,2020,34797
3,2021,35036
3,2022,35278
3,2023,35521
3,2024,35765
3,2025,36012
4,2020,14261
4,2021,14354
4,2022,14448
4,2023,14542
4,2024,14637
4,2025,14733
5,2020,130633
5,2021,131415
5,2022,132202
5,2023,132993
5,2024,133789
5,2025,134591
6,2020,56589
6,2021,56309
6,2022,56031
6,2023,55755
6,2024,55479
6,2025,55206
7,2020,44587
7,2021,44438
7,2022,44290
7,2023,44143
7,2024,43996
7,2025,43850
8,2020,5322
8,2021,5380
8,2022,5439
8,2023,5499
8,2024,5559
8,2025,5621
9,2020,160215
9,2021,162798
9,2022,165422
9,2023,168089
9,2024,170798
9,2025,173552
10,2020,21905
10,2021,21790
10,2022,21676
10,2023,21563
10,2024,21451
10,2025,21339
11,2020,211834
11,2021,210233
11,2022,208645
11,2023,207068
11,2024,205503
11,2025,203951
12,2020,32070
12,2021,32616
12,2022,33172
12,2023,33738
12,2024,34313
12,2025,34898
13,2020,30699
13,2021,31310
13,2022,31933
13,2023,32569
13,2024,33217
13,2025,33879
14,2020,138880
14,2021,139143
14,2022,139407
14,2023,139671
14,2024,139936
14,2025,140202
15,2020,27640
15,2021,28126
15,2022,28620
15,2023,29123
15,2024,29635
15,2025,30156
16,2020,26660
16,2021,26643
16,2022,26625
16,2023,26608
16,2024,26591
16,2025,26574
17,2020,86630
17,2021,85771
17,2022,84921
17,2023,84080
17,2024,83246
17,2025,82422
18,2020,28798
18,2021,29242
18,2022,29692
18,2023,30150
18,2024,30615
18,2025,31087
19,2020,25642
19,2021,26137
19,2022,26642
19,2023,27156
19,2024,27681
19,2025,28216
20,2020,59203
20,2021,59813
20,2022,60428
20,2023,61051
20,2024,61679
20,2025,62315
21,2020,40890
21,2021,41426
21,2022,41969
21,2023,42518
21,2024,43075
21,2025,43640
22,2020,14312
22,2021,14602
22,2022,14898
22,2023,15201
22,2024,15509
22,2025,15824
23,2020,73734
23,2021,74149
23,2022,74566
23,2023,74986
23,2024,75408
23,2025,75833
24,2020,26638
24,2021,26823
24,2022,27009
24,2023,27197
24,2024,27386
24,2025,27577
25,2020,23962
25,2021,24001
25,2022,24040
25,2023,24080
25,2024,24119
25,2025,24159
26,2020,33859
26,2021,34425
26,2022,34999
26,2023,35584
26,2024,36178
26,2025,36783
27,2020,10660
27,2021,10694
27,2022,10728
27,2023,10762
27,2024,10797
27,2025,10832
28,2020,4364
28,2021,4463
28,2022,4564
28,2023,4668
28,2024,4773
28,2025,4882
29,2020,40306
29,2021,41130
29,2022,41970
29,2023,42828
29,2024,43703
29,2025,44597
30,2020,32586
30,2021,33379
30,2022,34191
30,2023,35023
30,2024,35875
30,2025,36748
