transaction_id,municipality_id,property_id,sale_price,sale_date,property_type
1,21,10001,336000,2024-09-07,detached_house
2,5,10002,596000,2024-03-30,mixed_use
3,14,10003,265000,2024-08-26,mixed_use
4,20,10004,247000,2025-03-05,detached_house
5,15,10005,371000,2024-01-07,detached_house
6,23,10006,323000,2024-08-08,row_house
7,4,10007,210000,2024-12-18,mixed_use
8,9,10008,733000,2024-05-07,commercial
9,3,10009,384000,2025-01-05,mixed_use
10,7,10010,259000,2024-08-21,row_house
11,3,10011,419000,2025-01-24,row_house
12,15,10012,294000,2025-01-14,row_house
13,7,10013,387000,2024-03-14,mixed_use
14,21,10014,341000,2024-06-16,commercial
15,13,10015,372000,2024-08-12,row_house
16,27,10016,213000,2024-02-02,row_house
17,13,10017,250000,2024-11-18,detached_house
18,21,10018,404000,2025-04-14,detached_house
19,9,10019,461000,2024-09-26,mixed_use
20,14,10020,566000,2024-08-12,detached_house
21,17,10021,448000,2024-04-22,detached_house
22,21,10022,331000,2024-03-06,commercial
23,13,10023,317000,2024-09-14,mixed_use
24,28,10024,303000,2024-04-27,mixed_use
25,25,10025,312000,2024-04-24,row_house
26,14,10026,274000,2024-09-26,mixed_use
27,25,10027,351000,2024-11-01,mixed_use
28,20,10028,298000,2024-06-14,mixed_use
29,25,10029,399000,2024-11-27,commercial
30,1,10030,537000,2024-11-10,detached_house
31,2,10031,397000,2024-03-21,apartment
32,24,10032,230000,2024-05-08,detached_house
33,22,10033,295000,2024-09-28,mixed_use
34,28,10034,343000,2024-07-24,row_house
35,13,10035,381000,2025-03-24,mixed_use
36,15,10036,241000,2024-12-12,apartment
37,19,10037,326000,2024-01-08,apartment
38,23,10038,340000,2024-02-02,row_house
39,3,10039,280000,2025-05-12,detached_house
40,18,10040,359000,2025-04-29,detached_house
41,26,10041,301000,2024-04-06,apartment
42,22,10042,273000,2025-04-23,apartment
43,22,10043,317000,2024-03-03,commercial
44,24,10044,358000,2024-09-11,detached_house
45,7,10045,266000,2024-07-06,row_house
46,15,10046,365000,2025-03-29,mixed_use
47,4,10047,349000,2024-01-16,apartment
48,30,10048,289000,2025-02-20,commercial
49,16,10049,272000,2024-03-01,detached_house
50,13,10050,263000,2025-04-10,row_house
51,14,10051,612000,2025-05-13,detached_house
52,7,10052,397000,2024-03-03,row_house
53,2,10053,331000,2024-06-10,apartment
54,17,10054,262000,2024-03-10,detached_house
55,13,10055,353000,2024-09-09,mixed_use
56,20,10056,229000,2025-06-19,row_house
57,30,10057,331000,2024-11-17,detached_house
58,9,10058,547000,2024-11-03,commercial
59,11,10059,959000,2024-01-10,commercial
60,20,10060,547000,2024-03-16,mixed_use
61,7,10061,262000,2024-12-23,apartment
62,29,10062,271000,2025-03-24,mixed_use
63,23,10063,447000,2024-01-09,mixed_use
64,10,10064,244000,2024-05-17,row_house
65,4,10065,339000,2024-06-08,row_house
66,10,10066,338000,2024-07-27,row_house
67,17,10067,481000,2024-02-22,apartment
68,21,10068,283000,2024-01-04,row_house
69,25,10069,359000,2024-06-14,commercial
70,18,10070,336000,2024-04-24,apartment
71,29,10071,280000,2024-02-06,row_house
72,19,10072,298000,2024-02-12,row_house
73,12,10073,405000,2024-02-10,row_house
74,7,10074,382000,2024-12-28,mixed_use
75,29,10075,467000,2024-06-07,detached_house
76,28,10076,312000,2024-06-30,commercial
77,1,10077,799000,2025-02-25,detached_house
78,9,10078,459000,2025-01-26,apartment
79,28,10079,224000,2025-04-16,row_house
80,10,10080,376000,2024-08-16,apartment
81,22,10081,250000,2024-03-12,row_house
82,12,10082,309000,2024-12-05,apartment
83,4,10083,257000,2024-09-28,apartment
84,4,10084,263000,2024-11-17,commercial
85,20,10085,331000,2024-07-13,row_house
86,2,10086,355000,2024-07-20,row_house
87,14,10087,390000,2024-12-04,mixed_use
88,11,10088,513000,2024-11-03,mixed_use
89,10,10089,273000,2024-10-29,mixed_use
90,5,10090,424000,2025-01-23,detached_house
91,20,10091,350000,2024-01-01,row_house
92,10,10092,329000,2024-11-25,commercial
93,15,10093,256000,2025-04-29,detached_house
94,22,10094,276000,2024-12-09,apartment
95,27,10095,246000,2024-11-13,detached_house
96,26,10096,216000,2024-09-07,commercial
97,20,10097,307000,2025-02-28,mixed_use
98,7,10098,328000,2025-02-13,detached_house
99,5,10099,372000,2024-04-19,commercial
100,8,10100,338000,2025-06-14,commercial
101,2,10101,569000,2024-05-04,commercial
102,5,10102,613000,2024-11-20,commercial
103,20,10103,492000,2025-03-12,mixed_use
104,15,10104,382000,2025-05-01,commercial
105,9,10105,749000,2024-10-10,mixed_use
106,16,10106,271000,2024-03-20,row_house
107,8,10107,241000,2024-03-23,detached_house
108,5,10108,443000,2024-08-07,apartment
109,14,10109,467000,2025-03-01,apartment
110,7,10110,339000,2024-01-21,mixed_use
111,13,10111,394000,2024-11-01,commercial
112,28,10112,327000,2024-08-13,commercial
113,8,10113,266000,2025-02-02,row_house
114,22,10114,277000,2024-06-18,commercial
115,30,10115,312000,2024-01-28,commercial
116,19,10116,227000,2025-03-14,detached_house
117,28,10117,200000,2025-01-23,row_house
118,7,10118,297000,2025-01-23,row_house
119,25,10119,309000,2024-03-24,commercial
120,1,10120,854000,2024-12-24,detached_house
121,21,10121,368000,2024-02-11,apartment
122,8,10122,194000,2024-06-05,detached_house
123,5,10123,364000,2024-08-11,commercial
124,23,10124,317000,2024-04-27,detached_house
125,10,10125,203000,2024-11-15,mixed_use
126,22,10126,280000,2024-07-22,apartment
127,19,10127,341000,2024-04-14,row_house
128,28,10128,320000,2024-02-12,row_house
129,18,10129,284000,2025-06-02,row_house
130,1,10130,1464000,2024-04-18,commercial
131,12,10131,389000,2024-06-05,commercial
132,6,10132,477000,2024-10-03,mixed_use
133,26,10133,408000,2025-04-21,commercial
134,27,10134,247000,2024-09-08,apartment
135,9,10135,576000,2025-04-20,mixed_use
136,20,10136,347000,2025-05-21,row_house
137,6,10137,319000,2024-09-21,row_house
138,9,10138,752000,2024-10-09,mixed_use
139,1,10139,775000,2024-09-04,commercial
140,16,10140,262000,2025-05-02,commercial
141,15,10141,252000,2024-08-14,commercial
142,23,10142,373000,2025-01-12,commercial
143,18,10143,300000,2024-12-04,row_house
144,23,10144,333000,2024-08-24,apartment
145,24,10145,225000,2024-07-08,detached_house
146,7,10146,308000,2025-06-21,mixed_use
147,10,10147,378000,2024-10-30,detached_house
148,12,10148,212000,2024-05-09,row_house
149,2,10149,578000,2024-05-09,commercial
150,4,10150,310000,2025-04-25,commercial
151,15,10151,380000,2024-09-15,commercial
152,4,10152,279000,2024-03-16,mixed_use
153,21,10153,279000,2024-11-07,apartment
154,8,10154,307000,2024-08-19,mixed_use
155,13,10155,302000,2025-03-15,row_house
156,19,10156,334000,2024-04-11,detached_house
157,21,10157,333000,2024-06-09,detached_house
158,6,10158,286000,2025-02-22,commercial
159,23,10159,350000,2024-08-25,row_house
160,23,10160,419000,2024-03-13,detached_house
161,30,10161,353000,2024-07-21,commercial
162,4,10162,311000,2024-09-29,detached_house
163,3,10163,334000,2024-10-22,commercial
164,4,10164,253000,2025-02-16,row_house
165,17,10165,385000,2024-02-10,commercial
166,24,10166,253000,2024-04-03,detached_house
167,22,10167,311000,2024-01-22,row_house
168,19,10168,321000,2025-04-26,mixed_use
169,21,10169,285000,2025-03-22,commercial
170,3,10170,300000,2024-11-24,apartment
171,28,10171,253000,2025-05-22,row_house
172,22,10172,356000,2024-02-07,commercial
173,3,10173,274000,2025-02-17,mixed_use
174,27,10174,317000,2025-04-18,commercial
175,2,10175,340000,2025-05-25,commercial
176,25,10176,241000,2024-05-14,row_house
177,15,10177,331000,2024-01-30,mixed_use
178,26,10178,242000,2024-01-15,mixed_use
179,14,10179,466000,2024-04-26,commercial
180,4,10180,233000,2024-10-25,mixed_use
